student_id,math_score,reading_score,writing_score,placement_score,club_join_date
1,67.0,53.0,59.0,71.0,2021
2,64.0,59.0,97.0,66.0,2018
3,50.0,80.0,68.0,150.0,2022
4,,85.0,61.0,92.0,
5,67.0,51.0,89.0,68.0,2018
6,40.0,76.0,96.0,66.0,
7,98.0,52.0,54.0,73.0,2021
8,44.0,91.0,78.0,,2022
9,49.0,95.0,49.0,81.0,2022
10,81.0,59.0,60.0,95.0,2019
11,85.0,81.0,94.0,85.0,2019
12,73.0,63.0,91.0,77.0,2018
13,75.0,83.0,68.0,63.0,2022
14,41.0,50.0,71.0,85.0,2022
15,57.0,63.0,49.0,55.0,2019
16,,72.0,52.0,58.0,2020
17,90.0,61.0,86.0,70.0,2018
18,44.0,86.0,62.0,61.0,2022
19,59.0,63.0,89.0,79.0,2021
20,41.0,75.0,62.0,80.0,2021
21,50.0,55.0,70.0,89.0,
22,69.0,59.0,43.0,53.0,2019
23,71.0,54.0,91.0,80.0,2019
24,71.0,87.0,88.0,76.0,2019
25,97.0,67.0,99.0,74.0,
26,89.0,47.0,42.0,54.0,2019
27,77.0,47.0,60.0,55.0,2021
28,94.0,62.0,92.0,54.0,2020
29,67.0,69.0,41.0,76.0,2018
30,49.0,87.0,43.0,57.0,2022
